Local time,Open,High,Low,Close,Volume
01.01.2019 00:00:00.000 GMT+1100,0.70613,0.70613,0.70575,0.70575,187.56
01.01.2019 00:05:00.000 GMT+1100,0.70575,0.70579,0.70568,0.70579,316.31000000000006
01.01.2019 00:10:00.000 GMT+1100,0.70579,0.70598,0.70578,0.70595,359.15000000000003
01.01.2019 00:15:00.000 GMT+1100,0.70596,0.70618,0.70594,0.70618,340.52
01.01.2019 00:20:00.000 GMT+1100,0.70618,0.70628,0.70593,0.70595,288.36
01.01.2019 00:25:00.000 GMT+1100,0.70592,0.70595,0.70579,0.70585,178.44
01.01.2019 00:30:00.000 GMT+1100,0.70585,0.70585,0.70567,0.70582,435.4
01.01.2019 00:35:00.000 GMT+1100,0.70581,0.70584,0.70564,0.70564,311.5
01.01.2019 00:40:00.000 GMT+1100,0.70564,0.7057,0.70552,0.70556,389.19
01.01.2019 00:45:00.000 GMT+1100,0.70556,0.70559,0.70512,0.70514,396.0
01.01.2019 00:50:00.000 GMT+1100,0.70512,0.70514,0.7047,0.70482,325.70000000000005
01.01.2019 00:55:00.000 GMT+1100,0.70482,0.70497,0.70472,0.70497,367.22
01.01.2019 01:00:00.000 GMT+1100,0.70496,0.70504,0.70476,0.70476,262.98
01.01.2019 01:05:00.000 GMT+1100,0.70476,0.70503,0.70476,0.70501,270.45
01.01.2019 01:10:00.000 GMT+1100,0.70502,0.70503,0.70494,0.70495,268.12
01.01.2019 01:15:00.000 GMT+1100,0.70495,0.70498,0.70485,0.70491,342.32
01.01.2019 01:20:00.000 GMT+1100,0.7049,0.70501,0.70481,0.70501,318.96
01.01.2019 01:25:00.000 GMT+1100,0.70501,0.70515,0.70469,0.7047,340.77
01.01.2019 01:30:00.000 GMT+1100,0.70471,0.70474,0.70465,0.70469,368.07
01.01.2019 01:35:00.000 GMT+1100,0.70468,0.70474,0.70456,0.70472,577.07
01.01.2019 01:40:00.000 GMT+1100,0.70471,0.70486,0.70471,0.70483,426.21
01.01.2019 01:45:00.000 GMT+1100,0.70484,0.70498,0.70474,0.70493,652.1199999999999
01.01.2019 01:50:00.000 GMT+1100,0.70493,0.70504,0.70481,0.70503,513.1700000000001
01.01.2019 01:55:00.000 GMT+1100,0.70501,0.70503,0.70475,0.70482,840.67
01.01.2019 02:00:00.000 GMT+1100,0.70482,0.70502,0.70481,0.7049,453.13
