Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
07/09/2021 18:14,07/09/2021 18:44,XAUUSD,Sell,0.01,1808.27,1808.19,0.8,0.08,0,0
07/09/2021 18:01,07/09/2021 18:08,XAUUSD,Sell,0.01,1807.84,1807.72,1.2,0.12,0,0
07/09/2021 17:20,07/09/2021 17:56,GBPUSD,Sell,0.01,1.3856700000000002,1.38552,1.5,0.15,0,0
07/09/2021 17:35,07/09/2021 17:56,GBPUSD,Sell,0.01,1.38636,1.38602,3.4,0.34,0,0
07/09/2021 17:38,07/09/2021 17:55,GBPUSD,Sell,0.01,1.3867200000000002,1.38606,6.6,0.66,0,0
07/09/2021 17:50,07/09/2021 17:55,GBPUSD,Sell,0.02,1.38751,1.38649,10.2,2.04,0,0
07/09/2021 17:12,07/09/2021 17:13,GBPUSD,Sell,0.02,1.3852799999999998,1.38519,0.9,0.18,0,0
07/09/2021 16:40,07/09/2021 16:59,GBPUSD,Sell,0.01,1.3849799999999999,1.38496,0.2,0.02,0,0
07/09/2021 16:45,07/09/2021 16:48,GBPUSD,Sell,0.01,1.38583,1.38524,5.9,0.59,0,0
07/09/2021 16:18,07/09/2021 16:21,XAUUSD,Sell,0.01,1802.74,1801.98,7.6,0.76,0,0
07/09/2021 05:05,07/09/2021 06:08,EURUSD,Buy,0.01,1.18363,1.18375,1.2,0.12,0,0
07/08/2021 18:41,07/08/2021 18:52,EURUSD,Buy,0.01,1.1841,1.1844,3.0,0.3,0,0
07/08/2021 16:55,07/08/2021 17:59,EURUSD,Sell,0.01,1.186,1.1853799999999999,6.2,0.62,0,0
07/08/2021 17:29,07/08/2021 17:48,EURUSD,Sell,0.01,1.1864,1.18613,2.7,0.27,0,0
07/08/2021 16:32,07/08/2021 16:46,EURUSD,Sell,0.01,1.1858899999999999,1.18543,4.6,0.46,0,0
07/08/2021 15:43,07/08/2021 15:51,XAUUSD,Sell,0.01,1817.33,1815.76,15.7,1.57,0,0
07/08/2021 15:27,07/08/2021 15:38,XAUUSD,Sell,0.01,1816.9,1816.56,3.4,0.34,0,0
07/08/2021 14:14,07/08/2021 14:17,XAUUSD,Sell,0.01,1816.55,1815.6,9.5,0.95,0,0
07/08/2021 13:58,07/08/2021 14:00,XAUUSD,Sell,0.01,1817.7,1816.25,14.5,1.45,0,0
07/08/2021 11:59,07/08/2021 12:12,XAUUSD,Sell,0.01,1813.85,1813.08,7.7,0.77,0,0
07/08/2021 11:48,07/08/2021 11:54,XAUUSD,Sell,0.01,1813.74,1812.66,10.8,1.08,0,0
07/08/2021 11:37,07/08/2021 11:40,XAUUSD,Sell,0.01,1813.19,1812.3,8.9,0.89,0,0
